10/29/08 - Zeitgeist - 1618 Oretha Castle Haley Blvd - New Orleans, LA

10/30/08 - Sluggos - 2403 W Cervantes St - Pensacola, FL

10/31/08 - Kickstand (The Fest) - S Main - Gainesville, FL

11/03/08 - Secret Squirrel - W Broad St - Athens, GA

11/06/08 - The Pinhook (Troika Fest) - 117 W Main St - Durham, NC

11/07/08 - The Lantern - 211-B Draper Rd - Blacksburg, VA

11/08/08 - Rumors - 404 N Harrison St - Richmond, VA

11/09/08 - The Girl Cave - Gallatin St NW - Washington, DC

11/10/08 - Barclay House - Barclay - Baltimore, MD

11/11/08 - Model Home - N Marshall St - Philadelphia, PA

11/14/08 - MeatTown USA - Hamilton St - New Brunswick, NJ

11/22/08 - Belmar Fire Hall - 610 7th Ave - Belmar, NJ

12/04/08 - Dougherty Lounge @ Villanova U - 800 Lancaster Ave - Villanova, PA

12/11/08 - MeatTown USA - Hamilton St - New Brunswick, NJ

12/12/08 - Silent Barn - 915 Wyckoff Ave - Queens, NY

12/31/08 - The Fort - 1414 Lincoln Pl - Brooklyn, NY

01/04/09 - Court Tavern - 124 Church St - New Brunswick, NJ

01/09/09 - Martini Red - 372 Van Duzer St - Staten Island, NY

01/16/09 - Nick Nolte's House of Ribs - Hale St - New Brunswick, NJ

01/23/09 - Don Pedro's - 90 Manhattan Ave - Brooklyn, NY

01/31/09 - Monster Island Basement - 128 River St - Brooklyn, NY

02/07/09 - Maxwells - 1039 Washington St - Hoboken, NJ

02/14/09 - Cake Shop - 152 Ludlow St - New York, NY

02/19/09 - Don Pedro's - 90 Manhattan Ave - Brooklyn, NY

02/20/09 - Haverford Free Library - 1601 Darby Rd - Haverford, PA

03/06/09 - Corpse Fortress - Philadelphia Ave - Silver Spring, MD

03/07/09 - John & Peter's - 96 S Main St - New Hope, PA

03/10/09 - World Cafe Live - 3025 Walnut St - Philadelphia, PA

03/12/09 - Music Hall of Williamsburg - 66 N 6th St - Brooklyn, NY

03/13/09 - VFW - 36 Linden St - Pittsfield, MA

03/14/09 - Middle East Downstairs - 472 Massachusetts Ave - Cambridge, MA

03/23/09 - The Space - 295 Treadwell St - Hamden, CT

03/27/09 - The Ambulance Building - 14 Sparta Lane - Sparta, NJ

03/28/09 - Kay Center Basement (American U) - 4400 Massachusetts Ave NW - Washington, DC

04/02/09 - Nuestro Son - 107 Ave Universidad - San Juan (Rio Piedras), PR

04/03/09 - Central Sport Bar - 265 Ave Pineiro - San Juan, PR

04/04/09 - El Local - 1425 Ave Fernandez Junco - San Juan (Santurce), PR

04/17/09 - Court Tavern - 124 Church St - New Brunswick, NJ

04/18/09 - MeatTownUSA - Hamilton St - New Brunswick, NJ

04/20/09 - Death By Audio - 49 S 2nd St - Brooklyn, NY

04/21/09 - AS220 - 115 Empire St - Providence, RI

04/22/09 - Gay Gardens - Greylock Rd - Allston, MA

04/23/09 - Ella Bella's Cafe - 41 Hanson St - Rochester, NH

04/24/09 - Geno's - 625 Congress St - Portland, ME

04/25/09 - DoorhAus - Petticoat Hill Rd - Williamsburg, MA

04/26/09 - Westcott Community Center - 826 Euclid Ave - Syracuse, NY

04/27/09 - Sugar City - 19 Wadsworth St - Buffalo, NY

04/28/09 - Modern Formations Gallery - 4919 Penn Ave - Pittsburgh, PA

04/29/09 - Used Kids Records - 1980 N High St - Columbus, OH

04/29/09 - Legion of Doom - Indianola Ave - Columbus, OH

04/30/09 - Trumbullplex - 4210 Trumbull Ave - Detroit, MI

05/01/09 - Beer Can Garden - Seventh St - Ann Arbor, MI

05/02/09 - Permanent Records - 1914 W Chicago Ave - Chicago, IL

05/02/09 - The Mopery - N Milwaukee Ave - Chicago, IL

05/03/09 - Moria - Broadway - Indianapolis, IN

05/04/09 - The Cinemat - 123 S Walnut St - Bloomington, IN

05/05/09 - Skull Alley - 1017 East Broadway - Louisville, KY

05/06/09 - Booby's - 406 S Illinois Ave - Carbondale, IL

05/07/09 - The End - 2219 Elliston Pl - Nashville, TN

05/08/09 - Arkansas Community Arts Cooperative - 900 S Rodney Parham Rd - Little Rock, AR

05/09/09 - Mohawk - 912 Red River St - Austin, TX

05/11/09 - Big Top - 1638 Cilo St - New Orleans, LA

05/12/09 - Sluggo's - 2403 W Cervantes St - Pensacola, FL

05/13/09 - The Kickstand - 722 S Main St - Gainesville, FL

05/15/09 - Anarchtica - W Bell Ave - Chattanooga, TN

05/16/09 - New French Bar - 12 Biltmore Ave - Asheville, NC

05/17/09 - The Nightlight - 405 1/2 W Rosemary St - Chapel Hill, NC

05/18/09 - The Tinderbox - 3 S Stafford Ave - Richmond, VA

05/19/09 - Winstons - 1412 Greenbrier Pkwy - Chesapeake, VA

05/20/09 - Big Bear Cafe - 1700 First St NW - Washington, DC

05/21/09 - Charm City Art Space - 1729 Maryland Ave - Baltimore, MD

05/22/09 - Danger Danger Gallery - 5013 Baltimore Ave - Philadelphia, PA

05/23/09 - Market Hotel - 1142 Myrtle Ave - Brooklyn, NY

05/30/09 - Maxwell's - 1039 Washington St - Hoboken, NJ

06/05/09 - Shea Stadium - 85A Debevoise Ave - Brooklyn, NY

06/12/09 - Public Assembly - 70 N 6th St - Brooklyn, NY

06/20/09 - Court Tavern - 124 Church St - New Brunswick, NJ

06/25/09 - Music Hall of Williamsburg - 66 N 6th St - Brooklyn, NY

07/02/09 - Music Hall of Williamsburg - 66 N 6th St - Brooklyn, NY

07/13/09 - 9:30 - 815 V St NW - Washington, DC

07/14/09 - 9:30 - 815 V St NW - Washington, DC

07/16/09 - Terminal 5 - 610 W 56th St - New York, NY

07/17/09 - Terminal 5 - 610 W 56th St - New York, NY

07/18/09 - House of Blues - 15 Lansdowne St - Boston, MA

07/19/09 - Rebel Sound Records - 146-A North St - Pittsfield, MA

07/21/09 - Olympia de Montreal - 1004 rue St-Catherine Est - Montreal, QC - Canada

07/22/09 - Kool Haus - 132 Queens Quay East - Toronto, ON - Canada

07/24/09 - The Fillmore - 2115 Woodward Ave - Detroit, MI

07/25/09 - LC Pavilion - 405 Neil Ave - Columbus, OH

07/27/09 - First Avenue - 701 1st Ave N - Minneapolis, MN

07/28/09 - Vic Theatre - 3145 N Sheffield Ave - Chicago, IL

07/29/09 - Vic Theatre - 3145 N Sheffield Ave - Chicago, IL

07/30/09 - War Memorial Auditorium - 301 6th Ave N - Nashville, TN

08/01/09 - Nickel City - 1711 Branham Ln - San Jose, CA

08/02/09 - 1-2-3-4 Go! Records - 423 40th St - Oakland, CA

08/03/09 - Cypress - 120 Union St - Santa Cruz, CA

08/04/09 - The Downtown Eatery - 1344 Market St - Redding, CA

08/06/09 - Le Voyeur - 404 4th Ave E - Olympia, WA

08/07/09 - Comet Tavern - 922 E Pike St - Seattle, WA

08/08/09 - East End - 203 SE Grand Ave - Portland, OR

08/11/09 - Biko Garage - 6612 Sueno Rd - Isla Vista, CA

08/12/09 - Bar Pink - 3829 30th St - San Diego, CA

08/14/09 - Spaceland - 1717 Silverlake Blvd - Los Angeles, CA

08/15/09 - Thee Parkside (ThrillFest) - 1600 17th St - San Francisco, CA

08/29/09 - The Yard - 388 Carroll St - Brooklyn, NY

09/01/09 - Mercury Lounge - 217 E Houston St - New York, NY

09/23/09 - Maxwell's - 1039 Washington St - Hoboken, NJ

09/24/09 - Black Cat Backstage - 1811 14th St - Washington, DC

09/25/09 - Pi Lam - 3914 Spruce St - Philadelphia, PA

09/26/09 - Death By Audio - 49 S 2nd St - Brooklyn, NY

09/27/09 - AS220 - 115 Empire St - Providence, RI

09/28/09 - Middle East Upstairs - 472 Massachusetts St - Cambridge, MA

09/29/09 - SPACE Gallery - 538 Congress St - Portland, ME

10/01/09 - La Sala Rossa - 4848 St-Laurent - Montreal, QC - Canada

10/02/09 - The Garrison - 1197 Dundas St W - Toronto, ON - Canada

10/03/09 - Magic Stick - 4120-4140 Woodward Ave - Detroit, MI

10/04/09 - Oberlin College (Dionysus Club) - 135 West Lorain St - Oberlin, OH

10/05/09 - The Hideout - 1354 W Wabansia - Chicago, IL

10/06/09 - The Gargoyle @ Washington U - 6465 Forsyth Blvd - St Louis, MO

10/07/09 - Coughy Haus @ Beloit College - 708 Clary St - Beloit, WI

10/08/09 - Ronny's - 2101 N California Ave - Chicago, IL

